query_file,query_index,run_id,input_entities,matched_entities,result_rows,runtime_seconds,status,http_status_code,error_message,result_file
business_scale1000_CQ10_reference.sparql,1,1,1000,543,1309,0.7943907910000689,success,200,,qlever_results/business_scale1000_CQ10_reference_run1.csv
business_scale1000_CQ10_reference.sparql,1,2,1000,543,1309,0.25943329200003973,success,200,,qlever_results/business_scale1000_CQ10_reference_run2.csv
business_scale1000_CQ10_reference.sparql,1,3,1000,543,1309,0.2384425420000298,success,200,,qlever_results/business_scale1000_CQ10_reference_run3.csv
business_scale1000_CQ10_reference.sparql,1,4,1000,543,1309,0.23686262499995792,success,200,,qlever_results/business_scale1000_CQ10_reference_run4.csv
business_scale1000_CQ10_reference.sparql,1,5,1000,543,1309,0.2230322080000633,success,200,,qlever_results/business_scale1000_CQ10_reference_run5.csv
business_scale1000_CQ1_recorded_value.sparql,2,1,1000,208,241,0.197171707999928,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run1.csv
business_scale1000_CQ1_recorded_value.sparql,2,2,1000,208,241,0.12362404199996035,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run2.csv
business_scale1000_CQ1_recorded_value.sparql,2,3,1000,208,241,0.12548616699996273,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run3.csv
business_scale1000_CQ1_recorded_value.sparql,2,4,1000,208,241,0.12244162499996492,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run4.csv
business_scale1000_CQ1_recorded_value.sparql,2,5,1000,208,241,0.11440949999996519,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run5.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,1,1000,12,15,0.16132433300003868,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run1.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,2,1000,12,15,0.4539460840001084,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run2.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,3,1000,12,15,0.18368762499994773,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run3.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,4,1000,12,15,0.20848870899999383,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run4.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,5,1000,12,15,0.1614484579999953,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run5.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,1,1000,5,7,0.17541562499991414,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run1.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,2,1000,5,7,0.15734758300004614,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run2.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,3,1000,5,7,0.15312670800017258,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run3.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,4,1000,5,7,0.15864700000020093,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run4.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,5,1000,5,7,0.15998120899985224,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run5.csv
business_scale1000_CQ3_value_at_2024.sparql,5,1,1000,13,18,0.17238566699984403,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run1.csv
business_scale1000_CQ3_value_at_2024.sparql,5,2,1000,13,18,0.2336862080001083,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run2.csv
business_scale1000_CQ3_value_at_2024.sparql,5,3,1000,13,18,0.19034570799999528,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run3.csv
business_scale1000_CQ3_value_at_2024.sparql,5,4,1000,13,18,0.14261958299994149,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run4.csv
business_scale1000_CQ3_value_at_2024.sparql,5,5,1000,13,18,0.15448095800002193,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run5.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,1,1000,745,756,0.12537208399999145,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run1.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,2,1000,745,756,0.13444283300032112,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run2.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,3,1000,745,756,0.12537904200007688,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run3.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,4,1000,745,756,0.14430758399976185,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run4.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,5,1000,745,756,0.14503283399972133,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run5.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,1,1000,15,39,0.15579187499997715,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run1.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,2,1000,15,39,0.16616354099960517,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run2.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,3,1000,15,39,0.140010957999948,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run3.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,4,1000,15,39,0.13770750000003318,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run4.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,5,1000,15,39,0.1460012090001328,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run5.csv
business_scale1000_CQ9_sequence_property.sparql,8,1,1000,55,81,2.2622892090003006,success,200,,qlever_results/business_scale1000_CQ9_sequence_property_run1.csv
business_scale1000_CQ9_sequence_property.sparql,8,2,1000,55,81,0.6703924169996753,success,200,,qlever_results/business_scale1000_CQ9_sequence_property_run2.csv
business_scale1000_CQ9_sequence_property.sparql,8,3,1000,55,81,0.6457157909999296,success,200,,qlever_results/business_scale1000_CQ9_sequence_property_run3.csv
business_scale1000_CQ9_sequence_property.sparql,8,4,1000,55,81,0.7021809159996337,success,200,,qlever_results/business_scale1000_CQ9_sequence_property_run4.csv
business_scale1000_CQ9_sequence_property.sparql,8,5,1000,55,81,0.607072750000043,success,200,,qlever_results/business_scale1000_CQ9_sequence_property_run5.csv
business_scale1000_CQ9_sequence_qualifier.sparql,9,1,1000,0,0,0.14812895800014303,success,200,,qlever_results/business_scale1000_CQ9_sequence_qualifier_run1.csv
business_scale1000_CQ9_sequence_qualifier.sparql,9,2,1000,0,0,0.13065762499991251,success,200,,qlever_results/business_scale1000_CQ9_sequence_qualifier_run2.csv
business_scale1000_CQ9_sequence_qualifier.sparql,9,3,1000,0,0,0.12642895799990583,success,200,,qlever_results/business_scale1000_CQ9_sequence_qualifier_run3.csv
business_scale1000_CQ9_sequence_qualifier.sparql,9,4,1000,0,0,0.1272326250000333,success,200,,qlever_results/business_scale1000_CQ9_sequence_qualifier_run4.csv
business_scale1000_CQ9_sequence_qualifier.sparql,9,5,1000,0,0,0.11991591599962703,success,200,,qlever_results/business_scale1000_CQ9_sequence_qualifier_run5.csv
business_scale100_CQ10_reference.sparql,10,1,100,55,116,0.11792291700021451,success,200,,qlever_results/business_scale100_CQ10_reference_run1.csv
business_scale100_CQ10_reference.sparql,10,2,100,55,116,0.116043541000181,success,200,,qlever_results/business_scale100_CQ10_reference_run2.csv
business_scale100_CQ10_reference.sparql,10,3,100,55,116,0.11742649999996502,success,200,,qlever_results/business_scale100_CQ10_reference_run3.csv
business_scale100_CQ10_reference.sparql,10,4,100,55,116,0.1178842919998715,success,200,,qlever_results/business_scale100_CQ10_reference_run4.csv
business_scale100_CQ10_reference.sparql,10,5,100,55,116,0.13173391600003015,success,200,,qlever_results/business_scale100_CQ10_reference_run5.csv
business_scale100_CQ1_recorded_value.sparql,11,1,100,19,21,0.12525016700010383,success,200,,qlever_results/business_scale100_CQ1_recorded_value_run1.csv
business_scale100_CQ1_recorded_value.sparql,11,2,100,19,21,0.09000766600001953,success,200,,qlever_results/business_scale100_CQ1_recorded_value_run2.csv
business_scale100_CQ1_recorded_value.sparql,11,3,100,19,21,0.1051835830003256,success,200,,qlever_results/business_scale100_CQ1_recorded_value_run3.csv
business_scale100_CQ1_recorded_value.sparql,11,4,100,19,21,0.09591462500020498,success,200,,qlever_results/business_scale100_CQ1_recorded_value_run4.csv
business_scale100_CQ1_recorded_value.sparql,11,5,100,19,21,0.20126808300028642,success,200,,qlever_results/business_scale100_CQ1_recorded_value_run5.csv
business_scale100_CQ2_current_value_qualifier.sparql,12,1,100,2,2,0.278971208999792,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_run1.csv
business_scale100_CQ2_current_value_qualifier.sparql,12,2,100,2,2,0.11331633300005706,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_run2.csv
business_scale100_CQ2_current_value_qualifier.sparql,12,3,100,2,2,0.12244887499991819,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_run3.csv
business_scale100_CQ2_current_value_qualifier.sparql,12,4,100,2,2,0.12198170800002117,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_run4.csv
business_scale100_CQ2_current_value_qualifier.sparql,12,5,100,2,2,0.1241613749998578,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_run5.csv
business_scale100_CQ2_current_value_qualifier_rank.sparql,13,1,100,0,0,0.10543208299986873,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_rank_run1.csv
business_scale100_CQ2_current_value_qualifier_rank.sparql,13,2,100,0,0,0.09664929199971084,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_rank_run2.csv
business_scale100_CQ2_current_value_qualifier_rank.sparql,13,3,100,0,0,0.09936058299990691,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_rank_run3.csv
business_scale100_CQ2_current_value_qualifier_rank.sparql,13,4,100,0,0,0.1065304580006341,success,200,,qlever_results/business_scale100_CQ2_current_value_qualifier_rank_run4.csv
