query_file,query_index,run_id,input_entities,matched_entities,result_rows,runtime_seconds,status,http_status_code,error_message,result_file
business_scale1000_CQ10_reference.sparql,1,1,1000,543,1309,0.2897837919999997,success,200,,qlever_results/business_scale1000_CQ10_reference_run1.csv
business_scale1000_CQ10_reference.sparql,1,2,1000,543,1309,0.24358241699999894,success,200,,qlever_results/business_scale1000_CQ10_reference_run2.csv
business_scale1000_CQ10_reference.sparql,1,3,1000,543,1309,0.23090949999999566,success,200,,qlever_results/business_scale1000_CQ10_reference_run3.csv
business_scale1000_CQ10_reference.sparql,1,4,1000,543,1309,0.22048254099999554,success,200,,qlever_results/business_scale1000_CQ10_reference_run4.csv
business_scale1000_CQ10_reference.sparql,1,5,1000,543,1309,0.23352687499999547,success,200,,qlever_results/business_scale1000_CQ10_reference_run5.csv
business_scale1000_CQ1_recorded_value.sparql,2,1,1000,208,241,0.12358612499997434,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run1.csv
business_scale1000_CQ1_recorded_value.sparql,2,2,1000,208,241,0.11898745899998175,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run2.csv
business_scale1000_CQ1_recorded_value.sparql,2,3,1000,208,241,0.11629491600001529,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run3.csv
business_scale1000_CQ1_recorded_value.sparql,2,4,1000,208,241,0.14718245799997476,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run4.csv
business_scale1000_CQ1_recorded_value.sparql,2,5,1000,208,241,0.13050075000001016,success,200,,qlever_results/business_scale1000_CQ1_recorded_value_run5.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,1,1000,12,15,0.1484857910000983,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run1.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,2,1000,12,15,0.16208991600001355,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run2.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,3,1000,12,15,0.14334000000008018,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run3.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,4,1000,12,15,0.15470112499997413,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run4.csv
business_scale1000_CQ2_current_value_qualifier.sparql,3,5,1000,12,15,0.23337408299994422,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_run5.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,1,1000,5,7,0.21442695899997943,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run1.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,2,1000,5,7,0.16221854200000507,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run2.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,3,1000,5,7,0.38546595799994066,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run3.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,4,1000,5,7,0.16610066699990966,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run4.csv
business_scale1000_CQ2_current_value_qualifier_rank.sparql,4,5,1000,5,7,0.19569412500004546,success,200,,qlever_results/business_scale1000_CQ2_current_value_qualifier_rank_run5.csv
business_scale1000_CQ3_value_at_2024.sparql,5,1,1000,13,18,0.1385851669999738,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run1.csv
business_scale1000_CQ3_value_at_2024.sparql,5,2,1000,13,18,0.14653933299996424,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run2.csv
business_scale1000_CQ3_value_at_2024.sparql,5,3,1000,13,18,0.23174808299995675,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run3.csv
business_scale1000_CQ3_value_at_2024.sparql,5,4,1000,13,18,0.1437805830000798,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run4.csv
business_scale1000_CQ3_value_at_2024.sparql,5,5,1000,13,18,0.15184237500011477,success,200,,qlever_results/business_scale1000_CQ3_value_at_2024_run5.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,1,1000,745,756,0.13944087499999114,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run1.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,2,1000,745,756,0.12629741699993247,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run2.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,3,1000,745,756,0.1388709170000766,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run3.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,4,1000,745,756,0.12845729199989364,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run4.csv
business_scale1000_CQ4_lifecycle_event.sparql,6,5,1000,745,756,0.13357787499990081,success,200,,qlever_results/business_scale1000_CQ4_lifecycle_event_run5.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,1,1000,15,39,0.1546584160000748,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run1.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,2,1000,15,39,0.14045087499994224,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run2.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,3,1000,15,39,0.14611170900002435,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run3.csv
business_scale1000_CQ5_CQ8_temporal_info.sparql,7,4,1000,15,39,0.1402689580002061,success,200,,qlever_results/business_scale1000_CQ5_CQ8_temporal_info_run4.csv
